id,X1,X2,X3,X4
10000,1,37.09628053,0,-0.054300085
10001,1,43.79429259,1,0.48335571
10002,1,47.22311201,1,-0.69774743
10003,0,38.32029607,0,3.511237382
10004,0,32.5071631,0,1.776354014
10005,0,30.29871311,1,0.166505507
10006,1,38.426407,0,-0.738933052
10007,1,57.15954084,1,-1.91439218
10008,1,41.47579429,1,-0.349474729
10009,0,54.3610914,1,-0.265186425
10010,0,29.32728772,1,0.40905084
10011,1,38.85232639,0,1.922781309
10012,0,63.55969704,0,0.260914865
10013,0,41.87061605,1,0.064871123
10014,1,32.36238148,0,-0.020236003
10015,0,50.87488699,1,0.183210159
10016,0,46.68534985,0,-2.120466693
10017,0,49.42837502,0,-0.075881912
10018,0,40.74785953,0,0.216575858
10019,0,45.07344137,0,0.124008882
10020,0,38.94174488,1,0.116611351
10021,0,31.05621766,0,-1.245181016
10022,0,77.98371347,0,0.330076154
10023,1,48.56498497,0,2.069560814
10024,1,39.03647876,0,-1.70228767
10025,1,36.91768911,1,0.912134995
10026,0,45.43479802,1,0.107870205
10027,0,48.13949844,1,0.306681739
10028,0,53.56862444,1,-0.969609998
10029,0,39.49389963,1,0.844232328
10030,1,51.69746285,0,0.573826756
10031,1,35.46974624,1,0.394552899
10032,1,57.23539715,1,-0.339067313
10033,1,57.43581021,0,-0.660260956
10034,0,44.44076962,1,-0.768472644
10035,0,53.67788313,1,-0.959096154
10036,1,59.50098122,1,-1.255160327
10037,1,50.82512071,0,-1.079989752
10038,1,45.41764318,1,0.413723761
10039,0,38.09422053,1,-0.949233178
10040,0,49.93137712,1,0.207927376
10041,0,55.71940908,1,-0.508067158
10042,1,38.54112207,0,-0.047505131
10043,1,46.44701134,1,-0.817195578
10044,1,34.34999644,1,-1.253973879
10045,1,67.24810815,0,1.025647888
10046,0,40.69441921,0,-1.44396859
10047,1,38.1579309,0,0.666333975
10048,1,47.59532244,1,0.136634793
10049,0,43.1934747,1,1.985356933
10050,1,62.92779551,1,-0.708789333
10051,1,39.29256249,1,-0.806810144
