id,region,usuario,antiguedad,genero
10001,RegionA,Ligero,46.46065466,Mujer
10002,RegionC,Pesado,47.38052148,Mujer
10003,RegionC,Ligero,63.64285306,Hombre
10004,RegionB,Pesado,24.80222757,Mujer
10005,RegionC,Pesado,53.27846294,Hombre
10006,RegionB,Pesado,44.34390112,Hombre
10007,RegionC,Ligero,54.81326183,Hombre
10008,RegionC,Ligero,18.1990302,Hombre
10009,RegionC,Ligero,32.44313023,Mujer
10010,RegionB,Pesado,45.43546993,Hombre
10011,RegionB,Ligero,54.18953458,Hombre
10012,RegionA,Pesado,48.52492828,Mujer
10013,RegionA,Pesado,34.77344391,Hombre
10014,RegionC,Ligero,28.03932023,Mujer
10015,RegionA,Ligero,32.88472892,Hombre
10016,RegionB,Pesado,22.83978636,Hombre
10017,RegionC,Ligero,57.30146272,Hombre
10018,RegionA,Ligero,70.00400636,Hombre
10019,RegionB,Ligero,20.36774973,Mujer
10020,RegionC,Ligero,34.39126054,Mujer
10021,RegionC,Ligero,38.39627877,Hombre
10022,RegionB,Ligero,58.49004488,Mujer
10023,RegionA,Pesado,54.1523281,Hombre
10024,RegionB,Pesado,54.52674053,Mujer
10025,RegionC,Ligero,57.80986132,Mujer
10026,RegionB,Ligero,23.82844815,Hombre
10027,RegionA,Pesado,43.04680702,Mujer
10028,RegionB,Ligero,29.44173138,Mujer
10029,RegionA,Pesado,63.24355772,Hombre
10030,RegionA,Ligero,44.21686563,Hombre
10031,RegionC,Ligero,26.45536418,Hombre
10032,RegionA,Ligero,43.92478712,Hombre
10033,RegionC,Pesado,62.14507209,Hombre
10034,RegionB,Pesado,24.21071061,Mujer
10035,RegionB,Ligero,21.24228595,Mujer
10036,RegionB,Ligero,21.9939856,Mujer
10037,RegionB,Ligero,61.1858787,Hombre
10038,RegionC,Pesado,66.9497675,Hombre
10039,RegionC,Ligero,35.38492791,Mujer
10040,RegionB,Ligero,34.09019376,Mujer
10041,RegionA,Ligero,21.13447044,Hombre
10042,RegionB,Ligero,22.45807192,Mujer
10043,RegionB,Ligero,60.72606619,Hombre
10044,RegionA,Ligero,34.7009222,Hombre
10045,RegionC,Ligero,52.3316415,Hombre
10046,RegionC,Pesado,40.67529765,Mujer
10047,RegionA,Ligero,32.40403263,Hombre
10048,RegionA,Pesado,27.15154696,Hombre
10049,RegionA,Pesado,16.08686622,Mujer
10050,RegionB,Ligero,40.6815711,Hombre
10051,RegionA,Pesado,23.52676194,Hombre
10052,RegionA,Ligero,34.01289153,Hombre
10053,RegionC,Ligero,46.11553761,Hombre
10054,RegionB,Ligero,69.56368359,Hombre
10055,RegionC,Ligero,36.06597171,Hombre
10056,RegionA,Ligero,48.47461106,Mujer
10057,RegionC,Ligero,47.8539859,Hombre
10058,RegionA,Ligero,30.8707848,Mujer
10059,RegionA,Ligero,49.03556371,Hombre
10060,RegionA,Ligero,61.04184277,Hombre
10061,RegionC,Ligero,52.8356468,Hombre
10062,RegionA,Pesado,58.41620839,Hombre
10063,RegionB,Pesado,48.31293089,Hombre
10064,RegionA,Ligero,48.37365076,Mujer
10065,RegionA,Ligero,48.81201523,Mujer
10066,RegionA,Ligero,37.58301136,Hombre
10067,RegionB,Ligero,35.37771056,Hombre
10068,RegionB,Pesado,22.37397248,Mujer
10069,RegionA,Ligero,56.09723378,Mujer
10070,RegionC,Ligero,41.71800205,Mujer
10071,RegionA,Ligero,43.72564599,Mujer
10072,RegionA,Ligero,56.02806016,Hombre
10073,RegionB,Ligero,27.54115084,Mujer
10074,RegionA,Pesado,37.85164911,Hombre
10075,RegionB,Ligero,52.94463299,Mujer
10076,RegionC,Ligero,65.87921873,Mujer
10077,RegionC,Ligero,38.00208954,Hombre
10078,RegionB,Pesado,50.35024468,Mujer
10079,RegionC,Ligero,51.2540329,Hombre
10080,RegionA,Ligero,48.21496376,Mujer
10081,RegionB,Pesado,53.08600647,Hombre
10082,RegionB,Ligero,31.89532779,Mujer
10083,RegionB,Pesado,34.16683106,Mujer
10084,RegionB,Ligero,52.27315768,Mujer
10085,RegionC,Ligero,49.14498038,Mujer
10086,RegionB,Ligero,33.02186068,Mujer
10087,RegionA,Pesado,50.86540999,Hombre
10088,RegionB,Pesado,42.67694638,Mujer
10089,RegionC,Pesado,53.64416929,Hombre
10090,RegionB,Pesado,55.23792463,Mujer
10091,RegionB,Ligero,38.24275686,Mujer
